state_abbr,state,year,yearend,topic,question,value,datavaluetype,datavalueunit,group_type,group
ID,Idaho,2020,2020,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",25.0,Number,Number,Age,Age >=65
DE,Delaware,2019,2019,Diabetes,Diabetes among adults,15.5,Crude Prevalence,%,Age,Age 45-64
DE,Delaware,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,12.5,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
DE,Delaware,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",275.0,Number,Number,Sex,Female
GU,Guam,2019,2019,Diabetes,Diabetes among adults,10.1,Crude Prevalence,%,Sex,Female
HI,Hawaii,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",78.0,Number,Number,Race/Ethnicity,Hispanic
IL,Illinois,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",4724.0,Number,Number,Sex,Male
IA,Iowa,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,11.6,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
IA,Iowa,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1580.0,Number,Number,Sex,Female
KS,Kansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1092.0,Number,Number,Sex,Female
ME,Maine,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",82.2,Age-adjusted Rate,"cases per 100,000",Sex,Male
MD,Maryland,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",140.0,Number,Number,Race/Ethnicity,Hispanic
MO,Missouri,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2029.0,Number,Number,Sex,Female
MT,Montana,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",557.0,Number,Number,Sex,Male
NV,Nevada,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",30.0,Number,Number,Age,Age >=65
NM,New Mexico,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",809.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
NY,New York,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",6787.0,Number,Number,Sex,Female
NC,North Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",4834.0,Number,Number,Sex,Male
ND,North Dakota,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",283.0,Number,Number,Sex,Female
OK,Oklahoma,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1627.0,Number,Number,Age,Age 45-64
PA,Pennsylvania,2019,2019,Diabetes,Diabetes among adults,10.6,Crude Prevalence,%,Sex,Male
RI,Rhode Island,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",60.0,Number,Number,Race/Ethnicity,Hispanic
SC,South Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2682.0,Number,Number,Sex,Male
SD,South Dakota,2019,2019,Diabetes,Diabetes among adults,9.3,Age-adjusted Prevalence,%,Overall,Overall
TX,Texas,2019,2019,Diabetes,Diabetes among adults,13.0,Crude Prevalence,%,Sex,Male
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.7,Crude Rate,"cases per 100,000",Overall,Overall
VA,Virginia,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",3914.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
WA,Washington,2019,2019,Diabetes,Diabetes among adults,2.8,Crude Prevalence,%,Age,Age 18-44
WV,West Virginia,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1889.0,Number,Number,Age,Age >=65
WI,Wisconsin,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.4,Crude Rate,"cases per 100,000",Age,Age 45-64
WY,Wyoming,2019,2019,Diabetes,Diabetes among adults,6.6,Age-adjusted Prevalence,%,Sex,Female
AZ,Arizona,2020,2020,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1960.0,Number,Number,Age,Age 45-64
CO,Colorado,2020,2020,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",35.0,Number,Number,Age,Age 0-44
DE,Delaware,2020,2020,Diabetes,Diabetes among adults,14.3,Crude Prevalence,%,Age,Age 45-64
HI,Hawaii,2020,2020,Diabetes,Diabetes among adults,12.2,Crude Prevalence,%,Age,Age 45-64
IL,Illinois,2020,2020,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",6140.0,Number,Number,Sex,Female
IA,Iowa,2020,2020,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",60.0,Number,Number,Sex,Male
KS,Kansas,2020,2020,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",55.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
KY,Kentucky,2020,2020,Diabetes,Diabetes among adults,14.4,Crude Prevalence,%,Sex,Male
MD,Maryland,2020,2020,Diabetes,Gestational diabetes among women with a recent live birth,20.0,Crude Prevalence,%,Race/Ethnicity,"Asian, non-Hispanic"
MA,Massachusetts,2020,2020,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",46.0,Number,Number,Age,Age 45-64
MO,Missouri,2020,2020,Diabetes,Diabetes among adults,3.0,Crude Prevalence,%,Age,Age 18-44
MO,Missouri,2020,2020,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",99.0,Age-adjusted Rate,"cases per 100,000",Sex,Male
MT,Montana,2020,2020,Diabetes,Diabetes among adults,16.9,Crude Prevalence,%,Age,Age >=65
NH,New Hampshire,2020,2020,Diabetes,Diabetes among adults,7.5,Age-adjusted Prevalence,%,Overall,Overall
NJ,New Jersey,2020,2020,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",74.2,Age-adjusted Rate,"cases per 100,000",Overall,Overall
NM,New Mexico,2020,2020,Diabetes,Diabetes among adults,19.1,Crude Prevalence,%,Age,Age 45-64
NY,New York,2020,2020,Diabetes,Diabetes among adults,9.5,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
ND,North Dakota,2020,2020,Diabetes,Diabetes among adults,3.0,Crude Prevalence,%,Age,Age 18-44
OK,Oklahoma,2020,2020,Diabetes,Diabetes among adults,13.5,Crude Prevalence,%,Sex,Male
OR,Oregon,2020,2020,Diabetes,Diabetes among adults,8.6,Age-adjusted Prevalence,%,Sex,Male
RI,Rhode Island,2020,2020,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",86.0,Number,Number,Race/Ethnicity,Hispanic
TN,Tennessee,2020,2020,Diabetes,Diabetes among adults,17.9,Age-adjusted Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
TN,Tennessee,2020,2020,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",5253.0,Number,Number,Sex,Male
UT,Utah,2020,2020,Diabetes,Diabetes among adults,7.2,Crude Prevalence,%,Sex,Female
WA,Washington,2020,2020,Diabetes,Diabetes among adults,8.5,Age-adjusted Prevalence,%,Sex,Male
WI,Wisconsin,2020,2020,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3.6,Crude Rate,"cases per 100,000",Age,Age 45-64
AR,Arkansas,2021,2021,Diabetes,Diabetes among adults,24.8,Crude Prevalence,%,Age,Age >=65
GA,Georgia,2021,2021,Diabetes,Diabetes among adults,25.8,Crude Prevalence,%,Age,Age >=65
IN,Indiana,2021,2021,Diabetes,Diabetes among adults,16.7,Crude Prevalence,%,Age,Age 45-64
KY,Kentucky,2021,2021,Diabetes,Diabetes among adults,19.8,Crude Prevalence,%,Age,Age 45-64
MS,Mississippi,2021,2021,Diabetes,Diabetes among adults,14.4,Crude Prevalence,%,Sex,Male
MT,Montana,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3.2,Age-adjusted Rate,"cases per 100,000",Overall,Overall
NE,Nebraska,2021,2021,Diabetes,Diabetes among adults,9.6,Crude Prevalence,%,Overall,Overall
NV,Nevada,2021,2021,Diabetes,Diabetes among adults,11.4,Crude Prevalence,%,Sex,Female
NJ,New Jersey,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.3,Crude Rate,"cases per 100,000",Overall,Overall
NY,New York,2021,2021,Diabetes,Diabetes among adults,12.3,Crude Prevalence,%,Sex,Male
NC,North Carolina,2021,2021,Diabetes,Diabetes among adults,2.8,Crude Prevalence,%,Age,Age 18-44
ND,North Dakota,2021,2021,Diabetes,Diabetes among adults,20.5,Crude Prevalence,%,Age,Age >=65
ND,North Dakota,2021,2021,Diabetes,Diabetes among adults,7.9,Age-adjusted Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
SC,South Carolina,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",99.0,Number,Number,Sex,Female
SD,South Dakota,2021,2021,Diabetes,Diabetes among adults,9.7,Crude Prevalence,%,Sex,Female
TX,Texas,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",9567.0,Number,Number,Age,Age 45-64
VT,Vermont,2021,2021,Diabetes,Diabetes among adults,9.3,Crude Prevalence,%,Sex,Male
VT,Vermont,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",926.0,Number,Number,Overall,Overall
VA,Virginia,2021,2021,Diabetes,Diabetes among adults,23.1,Crude Prevalence,%,Age,Age >=65
WA,Washington,2021,2021,Diabetes,Diabetes among adults,8.3,Crude Prevalence,%,Sex,Female
WV,West Virginia,2021,2021,Diabetes,Diabetes among adults,4.7,Crude Prevalence,%,Age,Age 18-44
GU,Guam,2022,2022,Diabetes,Diabetes among adults,47.0,Crude Prevalence,%,Age,Age >=65
NM,New Mexico,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",22.0,Number,Number,Age,Age >=65
RI,Rhode Island,2022,2022,Diabetes,Diabetes among adults,19.1,Age-adjusted Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
TN,Tennessee,2022,2022,Diabetes,Diabetes among adults,13.1,Age-adjusted Prevalence,%,Overall,Overall
OK,Oklahoma,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",190.4,Crude Rate,"cases per 100,000",Sex,Male
OK,Oklahoma,2019,2019,Diabetes,Diabetes among adults,10.6,Crude Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,Diabetes among adults,18.7,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,15.1,Crude Prevalence,%,Age,Age 45-64
AR,Arkansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",105.4,Crude Rate,"cases per 100,000",Overall,Overall
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,17.8,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1811.0,Number,Number,Sex,Male
AL,Alabama,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,6.8,Crude Prevalence,%,Overall,Overall
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",43.7,Crude Rate,"cases per 100,000",Age,Age 45-64
AK,Alaska,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,21.5,Crude Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,9.9,Age-adjusted Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
CA,California,2019,2019,Diabetes,Diabetes among adults,15.0,Age-adjusted Prevalence,%,Race/Ethnicity,Hispanic
AR,Arkansas,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,11.9,Crude Prevalence,%,Overall,Overall
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,10.5,Crude Prevalence,%,Sex,Female
CA,California,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",203.0,Number,Number,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic"
CA,California,2019,2019,Diabetes,Diabetes among adults,9.7,Crude Prevalence,%,Sex,Female
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,22.7,Age-adjusted Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",90.9,Crude Rate,"cases per 100,000",Sex,Male
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",44.5,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",4140.0,Number,Number,Age,Age >=65
AK,Alaska,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,30.6,Crude Prevalence,%,Race/Ethnicity,"Asian, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.3,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",117.0,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
AL,Alabama,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",129.0,Number,Number,Age,Age 0-44
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",39.9,Crude Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",59.0,Number,Number,Sex,Male
AL,Alabama,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1874.0,Number,Number,Sex,Male
AL,Alabama,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",63.0,Number,Number,Sex,Male
CA,California,2019,2019,Diabetes,Diabetes among adults,11.6,Age-adjusted Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",56.0,Number,Number,Overall,Overall
AR,Arkansas,2019,2019,Diabetes,Diabetes among adults,26.7,Age-adjusted Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",38.0,Age-adjusted Rate,"cases per 100,000",Sex,Female
AK,Alaska,2019,2019,Diabetes,Diabetes among adults,16.4,Crude Prevalence,%,Age,Age >=65
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",72.5,Crude Rate,"cases per 100,000",Age,Age 45-64
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",34.1,Crude Rate,"cases per 100,000",Race/Ethnicity,"Multiracial, non-Hispanic"
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",305.0,Number,Number,Overall,Overall
AL,Alabama,2019,2019,Diabetes,Diabetes among adults,15.3,Crude Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",45.1,Crude Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
AL,Alabama,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",67.1,Crude Rate,"cases per 100,000",Overall,Overall
AL,Alabama,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",81.1,Crude Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",18.2,Crude Rate,"cases per 100,000",Race/Ethnicity,Hispanic
AL,Alabama,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.1,Crude Rate,"cases per 100,000",Sex,Female
AR,Arkansas,2019,2019,Diabetes,Diabetes among adults,19.0,Crude Prevalence,%,Age,Age 45-64
AL,Alabama,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.6,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",46.9,Crude Rate,"cases per 100,000",Sex,Male
AK,Alaska,2019,2019,Diabetes,Diabetes among adults,6.6,Age-adjusted Prevalence,%,Sex,Male
CA,California,2019,2019,Diabetes,Diabetes among adults,22.8,Crude Prevalence,%,Age,Age >=65
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",132.1,Crude Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.0,Crude Rate,"cases per 100,000",Sex,Male
AL,Alabama,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",22.0,Number,Number,Age,Age 0-44
AL,Alabama,2019,2019,Diabetes,Diabetes among adults,13.8,Crude Prevalence,%,Sex,Female
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",49.6,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.2,Age-adjusted Rate,"cases per 100,000",Overall,Overall
CA,California,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",32949.0,Number,Number,Overall,Overall
AK,Alaska,2019,2019,Diabetes,Diabetes among adults,8.5,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,15.2,Age-adjusted Prevalence,%,Race/Ethnicity,Hispanic
AR,Arkansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",93.0,Number,Number,Age,Age 0-44
AL,Alabama,2019,2019,Diabetes,Diabetes among adults,3.3,Crude Prevalence,%,Age,Age 18-44
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",213.0,Number,Number,Age,Age >=65
CA,California,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",71.7,Crude Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,Diabetes among adults,8.2,Crude Prevalence,%,Race/Ethnicity,Hispanic
CA,California,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",3.1,Crude Rate,"cases per 100,000",Age,Age 0-44
AL,Alabama,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.3,Crude Rate,"cases per 100,000",Overall,Overall
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1149.0,Number,Number,Race/Ethnicity,Hispanic
AR,Arkansas,2019,2019,Diabetes,Diabetes among adults,12.1,Age-adjusted Prevalence,%,Sex,Female
CA,California,2019,2019,Diabetes,Diabetes among adults,10.0,Age-adjusted Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,16.7,Crude Prevalence,%,Race/Ethnicity,Hispanic
AZ,Arizona,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.5,Age-adjusted Rate,"cases per 100,000",Sex,Male
AR,Arkansas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.5,Age-adjusted Rate,"cases per 100,000",Sex,Female
CA,California,2019,2019,Diabetes,Diabetes among adults,8.9,Age-adjusted Prevalence,%,Sex,Female
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2284.0,Number,Number,Sex,Female
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",52.8,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
AK,Alaska,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,10.1,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
AL,Alabama,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",68.1,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
CA,California,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",744.0,Number,Number,Age,Age 0-44
AL,Alabama,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",115.0,Number,Number,Overall,Overall
AK,Alaska,2019,2019,Diabetes,Diabetes among adults,7.2,Age-adjusted Prevalence,%,Overall,Overall
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,3.2,Crude Prevalence,%,Age,Age 18-44
CA,California,2019,2019,Diabetes,Diabetes among adults,12.4,Crude Prevalence,%,Race/Ethnicity,Hispanic
AK,Alaska,2019,2019,Diabetes,Diabetes among adults,7.9,Age-adjusted Prevalence,%,Sex,Female
AR,Arkansas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",46.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",192.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",65.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
CA,California,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",131.7,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",78.0,Number,Number,Age,Age 45-64
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,11.4,Crude Prevalence,%,Sex,Male
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,21.2,Crude Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",36.0,Crude Rate,"cases per 100,000",Sex,Female
AL,Alabama,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.4,Age-adjusted Rate,"cases per 100,000",Sex,Male
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",55.0,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
CA,California,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",83.4,Crude Rate,"cases per 100,000",Overall,Overall
AL,Alabama,2019,2019,Diabetes,Diabetes among adults,17.0,Age-adjusted Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
CA,California,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",436.2,Crude Rate,"cases per 100,000",Age,Age >=65
CA,California,2019,2019,Diabetes,Diabetes among adults,14.4,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",101.0,Number,Number,Race/Ethnicity,"Asian, non-Hispanic"
AL,Alabama,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2306.0,Number,Number,Age,Age >=65
AL,Alabama,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.7,Crude Rate,"cases per 100,000",Sex,Male
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",316.4,Crude Rate,"cases per 100,000",Age,Age >=65
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,17.3,Age-adjusted Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",35.0,Number,Number,Age,Age >=65
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",97.3,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,Diabetes among adults,13.6,Crude Prevalence,%,Sex,Female
AR,Arkansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",122.2,Crude Rate,"cases per 100,000",Sex,Male
AK,Alaska,2019,2019,Diabetes,Diabetes among adults,6.6,Crude Prevalence,%,Sex,Male
AR,Arkansas,2019,2019,Diabetes,Diabetes among adults,12.3,Age-adjusted Prevalence,%,Overall,Overall
AL,Alabama,2019,2019,Diabetes,Diabetes among adults,12.4,Age-adjusted Prevalence,%,Overall,Overall
CA,California,2019,2019,Diabetes,Diabetes among adults,10.2,Age-adjusted Prevalence,%,Sex,Male
AL,Alabama,2019,2019,Diabetes,Diabetes among adults,12.3,Age-adjusted Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
AL,Alabama,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.9,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",769.0,Number,Number,Age,Age 45-64
CA,California,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",121.7,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
AK,Alaska,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",126.0,Number,Number,Sex,Female
AL,Alabama,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",855.0,Number,Number,Age,Age 45-64
AR,Arkansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2320.0,Number,Number,Age,Age >=65
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1256.0,Number,Number,Age,Age 45-64
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",68.0,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Multiracial, non-Hispanic"
AL,Alabama,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",79.1,Crude Rate,"cases per 100,000",Sex,Male
AZ,Arizona,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",49.7,Crude Rate,"cases per 100,000",Race/Ethnicity,Hispanic
AZ,Arizona,2019,2019,Diabetes,Diabetes among adults,12.0,Crude Prevalence,%,Race/Ethnicity,Hispanic
AR,Arkansas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",78.9,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
AR,Arkansas,2019,2019,Diabetes,Diabetes among adults,17.3,Age-adjusted Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
AZ,Arizona,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.0,Age-adjusted Rate,"cases per 100,000",Sex,Female
CA,California,2019,2019,Diabetes,Diabetes among adults,11.0,Crude Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
CA,California,2019,2019,Diabetes,Diabetes among adults,2.6,Crude Prevalence,%,Age,Age 18-44
AK,Alaska,2019,2019,Diabetes,Diabetes among adults,7.3,Crude Prevalence,%,Overall,Overall
