state_abbr,state,year,yearend,topic,question,value,datavaluetype,datavalueunit,group_type,group
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",12241.0,Number,Number,Overall,Overall
NY,New York,2021,2021,Diabetes,Diabetes among adults,11.3,Age-adjusted Prevalence,%,Sex,Male
NH,New Hampshire,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",103.7,Crude Rate,"cases per 100,000",Overall,Overall
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",25.8,Crude Rate,"cases per 100,000",Race/Ethnicity,Hispanic
NM,New Mexico,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",430.0,Number,Number,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
NJ,New Jersey,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",62.9,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,Hispanic
NV,Nevada,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",35.0,Number,Number,Race/Ethnicity,"Multiracial, non-Hispanic"
NY,New York,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",105.9,Crude Rate,"cases per 100,000",Sex,Male
MT,Montana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",348.0,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
NE,Nebraska,2021,2021,Diabetes,Diabetes among adults,19.7,Crude Prevalence,%,Age,Age >=65
NE,Nebraska,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3.3,Age-adjusted Rate,"cases per 100,000",Sex,Male
NV,Nevada,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",7.2,Crude Rate,"cases per 100,000",Age,Age 45-64
NM,New Mexico,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1299.0,Number,Number,Sex,Female
MT,Montana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",133.3,Crude Rate,"cases per 100,000",Overall,Overall
NY,New York,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",4.1,Crude Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
NE,Nebraska,2021,2021,Diabetes,Diabetes among adults,16.3,Age-adjusted Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
MT,Montana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",189.4,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,Hispanic
NJ,New Jersey,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1525.0,Number,Number,Age,Age 45-64
NE,Nebraska,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",329.7,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
NY,New York,2021,2021,Diabetes,Gestational diabetes among women with a recent live birth,10.1,Crude Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
MT,Montana,2021,2021,Diabetes,Diabetes among adults,8.1,Age-adjusted Prevalence,%,Sex,Male
